Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t
04-01-2016,-0.014078276,0.625878053,0.011695039,0.098234439,-0.043851596,0.000980718,20.70000076,0.828264587
05-01-2016,0.001690105,1.047069148,0.011344243,-0.024521869,-0.042234238,0.000861804,19.34000015,0.801966959
06-01-2016,-0.012694578,0.768872084,0.010647839,-0.000368271,-0.054315823,0.000814577,20.59000015,0.758903795
07-01-2016,-0.024283884,1.088436774,0.011668522,-0.11522035,-0.077004113,0.000799791,24.98999977,0.811197588
08-01-2016,-0.011037153,2.182558748,0.011772665,-0.072949622,-0.087135348,0.000783562,27.01000023,0.791319842
11-01-2016,0.000989353,2.367679573,0.011760997,-0.177366392,-0.086231756,0.000742819,24.29999924,0.772648261
12-01-2016,0.008035871,1.881902116,0.011946678,-0.201839957,-0.078859249,0.000692154,22.46999931,0.778540406
13-01-2016,-0.025256745,1.473056011,0.012405403,-0.293576076,-0.101832925,0.000731897,25.21999931,0.777104349
14-01-2016,0.016283294,2.31284556,0.012993867,-0.229045659,-0.087088085,0.000784926,23.95000076,0.820052189
15-01-2016,-0.021699748,1.853934279,0.013299333,-0.061394317,-0.106684654,0.000833992,27.02000046,0.849948301
19-01-2016,0.001329991,2.34087944,0.012682921,-0.071743216,-0.105495762,0.000789839,26.04999924,0.841082165
20-01-2016,-0.012897583,1.945417392,0.012588957,-0.084384344,-0.116958624,0.000773303,27.59000015,0.824926786
21-01-2016,0.005586434,2.128401491,0.012367124,-0.274000677,-0.112011767,0.000733041,26.69000053,0.801273556
22-01-2016,0.020307589,1.684205371,0.013183864,-0.100947137,-0.093794519,0.00075023,22.34000015,0.831635954
25-01-2016,-0.015231855,1.316304824,0.013166656,0.088737932,-0.107493117,0.000761161,24.14999962,0.837814904
26-01-2016,0.013550659,1.393804956,0.013245559,0.096620876,-0.095316748,0.000787182,22.5,0.830493467
27-01-2016,-0.010942663,1.044902727,0.013324983,0.18891753,-0.105162424,0.000805554,23.11000061,0.790292546
28-01-2016,0.005195581,0.94104664,0.013479169,0.118680261,-0.100501125,0.000821556,22.42000008,0.79707593
29-01-2016,0.024084816,0.654571225,0.014486777,0.276925198,-0.078573864,0.000928668,20.20000076,0.812270279
01-02-2016,-0.000361454,0.429838952,0.014471653,0.210870479,-0.078906857,0.001005758,19.97999954,0.809795187
02-02-2016,-0.018186414,0.192767649,0.014777471,0.227970809,-0.095506833,0.001083167,21.97999954,0.809661399
03-02-2016,0.005977266,1.123273627,0.014694932,0.064840201,-0.090084247,0.001136488,21.64999962,0.793669791
04-02-2016,0.001566876,0.812571263,0.014693258,0.065995068,-0.088657405,0.001146336,21.84000015,0.809302525
05-02-2016,-0.019234094,0.580208391,0.01498942,0.069781121,-0.106018754,0.001084825,23.37999916,0.814847075
08-02-2016,-0.01355253,1.126899694,0.014386795,0.121104801,-0.118052731,0.001049785,26,0.775743077
09-02-2016,5.41E-05,1.670916823,0.014247768,0.023235504,-0.118005038,0.000999509,26.54000092,0.786554995
10-02-2016,-0.000863319,1.280133867,0.014236416,0.042027522,-0.118766152,0.000929489,26.29000092,0.783877198
11-02-2016,-0.013093083,1.046081029,0.014258598,0.216729687,-0.130229014,0.0008576,28.13999939,0.772316136
12-02-2016,0.020407114,1.322117886,0.014133223,0.177916837,-0.112297152,0.000807244,25.39999962,0.753457828
16-02-2016,0.016737211,1.001272611,0.014160588,0.179353533,-0.097314448,0.000789252,24.11000061,0.752715599
17-02-2016,0.016202913,0.717752626,0.013737458,0.0701363,-0.082569177,0.000779666,22.30999947,0.742435411
18-02-2016,-0.004104502,0.465536429,0.013787337,0.124052633,-0.086327056,0.000731184,21.63999939,0.744583503
19-02-2016,-0.000468305,0.441975547,0.013422425,0.055723174,-0.086754833,0.000675561,20.53000069,0.761496549
22-02-2016,0.014375265,0.192357841,0.013687294,-0.001095684,-0.073531878,0.000573161,19.37999916,0.766929726
23-02-2016,-0.012710006,-0.012536546,0.013374357,0.162528047,-0.085232777,0.000560514,20.97999954,0.747780375
24-02-2016,0.004565309,0.225134809,0.01290331,0.04956918,-0.081047034,0.000583421,20.71999931,0.745005866
25-02-2016,0.012038803,-0.004899841,0.012836113,0.053282612,-0.069917079,0.000616625,19.11000061,0.749530191
26-02-2016,-0.002304547,-0.188561603,0.012558967,0.002612312,-0.072058031,0.000678381,19.80999947,0.794233955
29-02-2016,-0.007872752,-0.249112418,0.012701613,0.130083556,-0.079334806,0.000725936,20.54999924,0.794168905
01-03-2016,0.023235118,0.006847493,0.012625885,0.109283024,-0.057692586,0.000767081,17.70000076,0.793739665
02-03-2016,0.004482293,-0.166257044,0.012642716,0.053840642,-0.053459408,0.00079534,17.09000015,0.793969359
03-03-2016,0.003911799,-0.351954913,0.011833664,0.020784461,-0.04974948,0.000862699,16.70000076,0.756878806
04-03-2016,0.003248214,-0.518742688,0.011806793,0.053300921,-0.046657845,0.000910779,16.86000061,0.785730325
07-03-2016,0.000798407,-0.674463386,0.011810109,0.062700445,-0.045896386,0.000935299,17.35000038,0.782421955
08-03-2016,-0.010978104,-0.808302275,0.011182224,0.242190675,-0.056313351,0.000968018,18.67000008,0.693091609
09-03-2016,0.004927207,-0.221245333,0.010559251,0.213989821,-0.051652138,0.001079185,18.34000015,0.713328897
10-03-2016,0.000802338,-0.396202172,0.010548452,0.205166987,-0.050890937,0.001160179,18.04999924,0.70544398
11-03-2016,0.016008105,-0.538719758,0.01083863,0.043039433,-0.035575239,0.001186517,16.5,0.72360277
14-03-2016,-0.001283291,-0.661749264,0.010177506,0.129032088,-0.036812083,0.001240872,16.92000008,0.734834012
15-03-2016,-0.001630716,-0.735981215,0.009614665,0.257516487,-0.038381489,0.001322429,16.84000015,0.731505736
16-03-2016,0.005770503,-0.776673074,0.00916463,0.329379044,-0.032816425,0.00140441,14.98999977,0.713546487
17-03-2016,0.006323985,-0.895298937,0.008710774,0.384906421,-0.02668059,0.001515834,14.43999958,0.689058814
18-03-2016,0.003922091,-0.997310791,0.008566839,0.294505242,-0.022855647,0.001591497,14.02000046,0.672528693
21-03-2016,0.001417803,-1.096489088,0.00853631,0.268926081,-0.021469267,0.001652861,13.78999996,0.663194763
22-03-2016,-0.000537778,-1.187022735,0.00818074,0.440309509,-0.021995358,0.001686721,14.17000008,0.65625375
23-03-2016,-0.006621308,-1.19365866,0.007705942,0.723993878,-0.028449637,0.001741802,14.93999958,0.576459141
