Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t,State,Regime,Prob_Recovery,Prob_StableBull,Prob_Correction,Prob_Panic,Prob_BullRecovery
2016-01-04,-0.014078276,0.625878053,0.011695039,0.098234439,-0.043851596,0.000980718,20.70000076,0.828264587,2,Correction,2.2624436481198036e-172,0.0,1.0,1.427381902523378e-259,1.9487245016878097e-165
2016-01-05,0.001690105,1.047069148,0.011344243,-0.024521869,-0.042234238,0.000861804,19.34000015,0.801966959,2,Correction,8.853688832812803e-12,9.732774739131844e-36,0.9999999430037877,2.0491813248855136e-13,5.698658148065501e-08
2016-01-06,-0.012694578,0.768872084,0.010647839,-0.000368271,-0.054315823,0.000814577,20.59000015,0.758903795,2,Correction,2.1006743539437987e-14,5.805976125191899e-47,0.9999999862193363,2.2443794137223457e-18,1.378050831500039e-08
2016-01-07,-0.024283884,1.088436774,0.011668522,-0.11522035,-0.077004113,0.000799791,24.98999977,0.811197588,2,Correction,1.1437705669547428e-13,3.256678712070579e-89,1.0,2.8360614664473386e-16,1.5316937460788296e-14
2016-01-08,-0.011037153,2.182558748,0.011772665,-0.072949622,-0.087135348,0.000783562,27.01000023,0.791319842,2,Correction,9.834127705786679e-12,3.514071763042673e-128,0.999999999990905,9.046347649110925e-15,6.001414179374806e-21
2016-01-11,0.000989353,2.367679573,0.011760997,-0.177366392,-0.086231756,0.000742819,24.29999924,0.772648261,2,Correction,1.2886527763829187e-08,4.9717810605956e-150,0.9999999871142791,9.239725988426864e-14,2.4941283141150004e-22
2016-01-12,0.008035871,1.881902116,0.011946678,-0.201839957,-0.078859249,0.000692154,22.46999931,0.778540406,2,Correction,5.674809671290723e-07,3.1037607636075457e-146,0.9999994325154848,2.7036605634165554e-12,1.474759698354513e-19
2016-01-13,-0.025256745,1.473056011,0.012405403,-0.293576076,-0.101832925,0.000731897,25.21999931,0.777104349,2,Correction,3.498376899622469e-06,4.993196685743723e-180,0.9999965015656276,5.8128785266672354e-11,1.0576686020754966e-23
2016-01-14,0.016283294,2.31284556,0.012993867,-0.229045659,-0.087088085,0.000784926,23.95000076,0.820052189,2,Correction,1.1011533302088358e-05,1.2345325862214317e-195,0.9999889883789925,8.844612398605905e-11,1.3840990482538316e-26
2016-01-15,-0.021699748,1.853934279,0.013299333,-0.061394317,-0.106684654,0.000833992,27.02000046,0.849948301,2,Correction,7.646149793786305e-05,2.883954443338246e-200,0.9999235325092182,5.9920104989541815e-09,5.1745005846319544e-27
2016-01-19,0.001329991,2.34087944,0.012682921,-0.071743216,-0.105495762,0.000789839,26.04999924,0.841082165,2,Correction,0.001540782002135663,3.094505905288218e-241,0.9984592067290834,1.1268805222671337e-08,3.94960047426108e-31
2016-01-20,-0.012897583,1.945417392,0.012588957,-0.084384344,-0.116958624,0.000773303,27.59000015,0.824926786,2,Correction,0.026109078040245457,1.1447546615622688e-269,0.9738905441705431,3.7778992768688363e-07,2.8848581670808703e-34
2016-01-21,0.005586434,2.128401491,0.012367124,-0.274000677,-0.112011767,0.000733041,26.69000053,0.801273556,2,Correction,0.29769381630706426,1.0369131699983849e-293,0.702305091695438,1.091997763922513e-06,5.564959540366774e-38
2016-01-22,0.020307589,1.684205371,0.013183864,-0.100947137,-0.093794519,0.00075023,22.34000015,0.831635954,0,Recovery,0.9131370506540981,3.346249423881289e-263,0.08686115112431723,1.7982207003544345e-06,1.335609323575397e-35
2016-01-25,-0.015231855,1.316304824,0.013166656,0.088737932,-0.107493117,0.000761161,24.14999962,0.837814904,0,Recovery,0.980945285704223,2.508762732653678e-241,0.019054575333064618,1.3896209596512064e-07,1.519742831552127e-32
2016-01-26,0.013550659,1.393804956,0.013245559,0.096620876,-0.095316748,0.000787182,22.5,0.830493467,0,Recovery,0.9986559228242056,7.237685638566004e-259,0.0013440440263622177,3.314989176186801e-08,3.4629880616040417e-37
2016-01-27,-0.010942663,1.044902727,0.013324983,0.18891753,-0.105162424,0.000805554,23.11000061,0.790292546,0,Recovery,0.9999426370132345,1.4089920220356328e-253,5.736013330877483e-05,2.8529640795931814e-09,5.736357943442483e-37
2016-01-28,0.005195581,0.94104664,0.013479169,0.118680261,-0.100501125,0.000821556,22.42000008,0.79707593,0,Recovery,0.9999996447296047,4.26914762166563e-280,3.538096673092305e-07,1.4602503390820248e-09,9.71630572997908e-43
