Date,Prob_State0,Prob_State1,Prob_State2
04-01-2016,1,0,3.00E-197
05-01-2016,0.999998026,2.44E-12,1.97E-06
06-01-2016,0.999998823,1.63E-15,1.18E-06
07-01-2016,0.999995462,4.94E-28,4.54E-06
08-01-2016,0.999999044,9.71E-38,9.56E-07
11-01-2016,0.999999769,2.58E-43,2.31E-07
12-01-2016,0.999999762,6.69E-43,2.38E-07
13-01-2016,0.999999654,2.37E-52,3.46E-07
14-01-2016,0.9999996,2.20E-58,4.00E-07
15-01-2016,0.999999527,2.42E-58,4.73E-07
19-01-2016,0.99999991,1.34E-69,9.03E-08
20-01-2016,0.999999951,8.95E-78,4.90E-08
21-01-2016,0.999999972,8.62E-86,2.81E-08
22-01-2016,0.999999905,7.72E-80,9.50E-08
25-01-2016,0.99999996,3.44E-69,4.01E-08
26-01-2016,0.999999964,1.73E-77,3.62E-08
27-01-2016,0.999999989,1.36E-72,1.14E-08
28-01-2016,0.999999993,9.79E-83,7.30E-09
29-01-2016,0.999999733,2.83E-75,2.67E-07
01-02-2016,0.999999846,3.25E-53,1.54E-07
02-02-2016,0.999999883,3.30E-65,1.17E-07
03-02-2016,0.99999994,3.31E-67,6.01E-08
04-02-2016,0.999999914,4.59E-64,8.61E-08
05-02-2016,0.999999935,1.14E-75,6.47E-08
08-02-2016,0.999999992,2.00E-91,7.99E-09
09-02-2016,0.999999994,2.41E-98,5.79E-09
10-02-2016,0.999999996,8.59E-104,3.79E-09
11-02-2016,0.999999997,2.58E-114,2.63E-09
12-02-2016,0.999999995,5.53E-119,5.24E-09
16-02-2016,0.999999971,6.96E-90,2.91E-08
17-02-2016,0.999999899,2.60E-68,1.01E-07
18-02-2016,0.999999958,2.02E-57,4.18E-08
19-02-2016,0.999999977,1.16E-61,2.31E-08
22-02-2016,0.999999829,8.26E-61,1.71E-07
23-02-2016,0.999999944,4.09E-54,5.64E-08
24-02-2016,0.999999968,3.02E-59,3.21E-08
25-02-2016,0.999999898,3.10E-54,1.02E-07
26-02-2016,0.999999852,1.07E-45,1.48E-07
29-02-2016,0.999999923,1.61E-51,7.69E-08
01-03-2016,0.999999152,9.76E-50,8.48E-07
02-03-2016,0.999999372,7.66E-31,6.28E-07
03-03-2016,0.999999569,1.87E-27,4.31E-07
04-03-2016,0.999999173,2.05E-25,8.27E-07
07-03-2016,0.999998817,2.70E-24,1.18E-06
08-03-2016,0.999999772,3.09E-27,2.28E-07
09-03-2016,0.999999806,2.51E-26,1.94E-07
10-03-2016,0.999999805,1.20E-24,1.95E-07
11-03-2016,0.999997959,7.13E-23,2.04E-06
14-03-2016,0.999998822,1.74E-14,1.18E-06
15-03-2016,0.999999097,2.64E-15,9.03E-07
16-03-2016,0.999999387,2.05E-15,6.13E-07
17-03-2016,0.999999204,2.99E-12,7.96E-07
18-03-2016,0.999999084,6.84E-10,9.15E-07
21-03-2016,0.999999002,5.12E-09,9.93E-07
22-03-2016,0.999998914,1.35E-08,1.07E-06
23-03-2016,0.99999979,3.46E-09,2.07E-07
24-03-2016,0.999999853,5.36E-10,1.46E-07
28-03-2016,0.999999626,1.94E-09,3.72E-07
29-03-2016,0.999999154,2.94E-08,8.17E-07
30-03-2016,0.998887627,0.001110638,1.74E-06
31-03-2016,0.977775347,0.02222465,3.34E-09
01-04-2016,0.970805585,0.029194409,5.74E-09
04-04-2016,0.968426411,0.031573581,7.76E-09
05-04-2016,0.993670143,0.006328499,1.36E-06
06-04-2016,0.99574498,0.004254861,1.58E-07
07-04-2016,0.995224955,0.004771344,3.70E-06
08-04-2016,0.9913106,0.008682692,6.71E-06
11-04-2016,0.955555177,0.044400596,4.42E-05
12-04-2016,0.740346389,0.259347344,0.000306267
13-04-2016,0.036451842,0.963518912,2.92E-05
14-04-2016,0.000199809,0.999799858,3.33E-07
15-04-2016,3.41E-06,0.99999654,5.03E-08
18-04-2016,9.59E-07,0.999999036,4.90E-09
19-04-2016,9.43E-07,0.999999031,2.65E-08
20-04-2016,9.45E-07,0.999999042,1.30E-08
21-04-2016,1.67E-06,0.999998315,1.66E-08
22-04-2016,1.83E-07,0.999999817,7.49E-12
25-04-2016,1.65E-07,0.999999835,8.59E-12
26-04-2016,1.69E-07,0.999999831,9.71E-12
27-04-2016,5.49E-09,0.999999995,8.98E-16
28-04-2016,4.31E-08,0.999999957,3.90E-14
29-04-2016,7.59E-08,0.999999924,1.79E-14
02-05-2016,8.13E-08,0.999999919,1.60E-14
03-05-2016,2.14E-08,0.999999979,9.42E-16
04-05-2016,9.72E-08,0.999999903,5.04E-16
05-05-2016,8.88E-08,0.999999911,1.96E-17
06-05-2016,6.55E-08,0.999999934,2.46E-18
09-05-2016,1.62E-08,0.999999984,5.20E-19
10-05-2016,9.95E-08,0.9999999,4.64E-16
11-05-2016,1.62E-09,0.999999998,5.48E-19
12-05-2016,1.04E-10,1,7.95E-23
13-05-2016,4.08E-10,1,6.86E-23
16-05-2016,6.35E-08,0.999999936,2.04E-17
17-05-2016,4.21E-08,0.999999958,5.31E-17
18-05-2016,1.47E-07,0.999999853,1.52E-16
19-05-2016,6.33E-07,0.999999367,9.26E-16
20-05-2016,3.01E-06,0.999996992,1.59E-14
23-05-2016,1.38E-05,0.999986197,6.39E-11
24-05-2016,3.45E-05,0.999965534,4.47E-09
25-05-2016,1.12E-06,0.99999888,4.78E-10
26-05-2016,1.19E-06,0.999998811,3.17E-09
27-05-2016,5.77E-07,0.999999423,2.01E-10
31-05-2016,3.09E-07,0.999999691,6.70E-11
01-06-2016,2.54E-07,0.999999746,7.86E-11
02-06-2016,6.86E-07,0.999999312,1.09E-09
03-06-2016,9.14E-07,0.999999085,9.01E-10
06-06-2016,8.19E-07,0.999999179,1.53E-09
07-06-2016,6.51E-07,0.999999346,2.14E-09
08-06-2016,8.13E-07,0.999999184,3.39E-09
09-06-2016,4.74E-07,0.999999525,1.67E-09
10-06-2016,8.32E-07,0.999999155,1.32E-08
13-06-2016,5.39E-07,0.999997717,1.74E-06
14-06-2016,2.56E-06,0.999994485,2.95E-06
15-06-2016,7.26E-06,0.99999029,2.45E-06
16-06-2016,8.08E-06,0.999990197,1.72E-06
17-06-2016,1.08E-05,0.999987828,1.36E-06
20-06-2016,1.27E-05,0.999986408,9.26E-07
21-06-2016,7.88E-07,0.999999142,6.98E-08
22-06-2016,1.07E-07,0.999996208,3.68E-06
23-06-2016,3.39E-05,0.999405838,0.000560295
24-06-2016,8.40E-14,2.28E-10,1
27-06-2016,4.20E-06,5.07E-13,0.999995795
28-06-2016,0.000138588,2.99E-14,0.999861412
29-06-2016,0.000141656,1.02E-08,0.999858334
30-06-2016,8.45E-05,1.78E-06,0.999913751
01-07-2016,3.95E-05,1.73E-06,0.999958798
05-07-2016,1.57E-05,5.58E-07,0.999983752
06-07-2016,8.19E-06,1.30E-06,0.999990508
07-07-2016,3.87E-06,6.74E-07,0.999995451
08-07-2016,7.37E-07,2.92E-08,0.999999233
11-07-2016,6.42E-07,1.56E-07,0.999999202
12-07-2016,7.95E-08,2.47E-07,0.999999673
13-07-2016,3.49E-08,1.43E-07,0.999999822
14-07-2016,8.79E-09,8.02E-08,0.999999911
15-07-2016,1.31E-08,7.38E-08,0.999999913
18-07-2016,1.92E-08,1.44E-07,0.999999837
19-07-2016,2.88E-08,1.83E-07,0.999999789
20-07-2016,5.19E-08,1.66E-07,0.999999782
21-07-2016,2.60E-07,1.03E-06,0.99999871
22-07-2016,1.22E-06,0.000160449,0.999838336
25-07-2016,6.34E-05,0.02166435,0.978272268
26-07-2016,0.000485924,0.999312542,0.000201534
27-07-2016,8.25E-09,0.999999992,1.95E-17
28-07-2016,4.52E-10,1,5.65E-19
29-07-2016,8.06E-10,0.999999999,7.57E-19
01-08-2016,5.29E-10,0.999999999,1.17E-18
02-08-2016,4.95E-09,0.999999995,5.95E-16
03-08-2016,3.75E-09,0.999999996,3.61E-16
04-08-2016,5.52E-09,0.999999994,4.41E-15
05-08-2016,5.11E-08,0.999999949,9.75E-14
08-08-2016,9.88E-08,0.999999901,1.03E-12
09-08-2016,9.61E-08,0.999999904,3.42E-12
10-08-2016,2.49E-07,0.999999751,1.27E-10
11-08-2016,1.82E-07,0.999999818,3.38E-11
12-08-2016,1.90E-07,0.99999981,1.77E-11
15-08-2016,8.24E-08,0.999999918,4.73E-12
16-08-2016,7.92E-08,0.999999921,3.39E-12
17-08-2016,4.14E-08,0.999999959,6.90E-14
18-08-2016,4.30E-08,0.999999957,1.45E-14
19-08-2016,1.40E-08,0.999999986,1.34E-16
22-08-2016,7.37E-09,0.999999993,4.76E-17
23-08-2016,3.61E-09,0.999999996,2.07E-18
24-08-2016,2.60E-09,0.999999997,1.30E-18
25-08-2016,9.46E-07,0.999999053,1.42E-09
26-08-2016,1.25E-06,0.999998741,4.04E-09
29-08-2016,1.40E-06,0.999998594,3.80E-09
30-08-2016,9.03E-07,0.999999059,3.75E-08
31-08-2016,8.95E-07,0.999999085,1.96E-08
01-09-2016,7.26E-07,0.999999268,6.74E-09
02-09-2016,1.05E-06,0.999998946,7.40E-09
06-09-2016,9.07E-07,0.999999093,3.15E-11
07-09-2016,1.29E-06,0.999998712,4.66E-11
08-09-2016,3.45E-05,0.999964976,4.81E-07
09-09-2016,3.77E-08,0.139619886,0.860380076
12-09-2016,0.001362862,0.476051599,0.52258554
13-09-2016,0.022872745,0.934744306,0.042382949
14-09-2016,0.018383821,0.981332268,0.000283911
15-09-2016,0.008856313,0.991107906,3.58E-05
16-09-2016,0.002389795,0.997605619,4.59E-06
19-09-2016,0.000667721,0.999326234,6.04E-06
20-09-2016,0.000179287,0.999813099,7.61E-06
21-09-2016,9.00E-05,0.999901761,8.29E-06
