Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t,State,Regime,Prob_Recovery,Prob_StableBull,Prob_Correction,Prob_Panic,Prob_BullRecovery
04-01-2016,-0.014078276,0.625878053,0.011695039,0.098234439,-0.043851596,0.000980718,20.70000076,0.828264587,2,Correction,2.26E-172,0,1,1.43E-259,1.95E-165
05-01-2016,0.001690105,1.047069148,0.011344243,-0.024521869,-0.042234238,0.000861804,19.34000015,0.801966959,2,Correction,8.85E-12,9.73E-36,0.999999943,2.05E-13,5.70E-08
06-01-2016,-0.012694578,0.768872084,0.010647839,-0.000368271,-0.054315823,0.000814577,20.59000015,0.758903795,2,Correction,2.10E-14,5.81E-47,0.999999986,2.24E-18,1.38E-08
07-01-2016,-0.024283884,1.088436774,0.011668522,-0.11522035,-0.077004113,0.000799791,24.98999977,0.811197588,2,Correction,1.14E-13,3.26E-89,1,2.84E-16,1.53E-14
08-01-2016,-0.011037153,2.182558748,0.011772665,-0.072949622,-0.087135348,0.000783562,27.01000023,0.791319842,2,Correction,9.83E-12,3.51E-128,1,9.05E-15,6.00E-21
11-01-2016,0.000989353,2.367679573,0.011760997,-0.177366392,-0.086231756,0.000742819,24.29999924,0.772648261,2,Correction,1.29E-08,4.97E-150,0.999999987,9.24E-14,2.49E-22
12-01-2016,0.008035871,1.881902116,0.011946678,-0.201839957,-0.078859249,0.000692154,22.46999931,0.778540406,2,Correction,5.67E-07,3.10E-146,0.999999433,2.70E-12,1.47E-19
13-01-2016,-0.025256745,1.473056011,0.012405403,-0.293576076,-0.101832925,0.000731897,25.21999931,0.777104349,2,Correction,3.50E-06,4.99E-180,0.999996502,5.81E-11,1.06E-23
14-01-2016,0.016283294,2.31284556,0.012993867,-0.229045659,-0.087088085,0.000784926,23.95000076,0.820052189,2,Correction,1.10E-05,1.23E-195,0.999988988,8.84E-11,1.38E-26
15-01-2016,-0.021699748,1.853934279,0.013299333,-0.061394317,-0.106684654,0.000833992,27.02000046,0.849948301,2,Correction,7.65E-05,2.88E-200,0.999923533,5.99E-09,5.17E-27
19-01-2016,0.001329991,2.34087944,0.012682921,-0.071743216,-0.105495762,0.000789839,26.04999924,0.841082165,2,Correction,0.001540782,3.09E-241,0.998459207,1.13E-08,3.95E-31
20-01-2016,-0.012897583,1.945417392,0.012588957,-0.084384344,-0.116958624,0.000773303,27.59000015,0.824926786,2,Correction,0.026109078,1.14E-269,0.973890544,3.78E-07,2.88E-34
21-01-2016,0.005586434,2.128401491,0.012367124,-0.274000677,-0.112011767,0.000733041,26.69000053,0.801273556,2,Correction,0.297693816,1.04E-293,0.702305092,1.09E-06,5.56E-38
22-01-2016,0.020307589,1.684205371,0.013183864,-0.100947137,-0.093794519,0.00075023,22.34000015,0.831635954,0,Recovery,0.913137051,3.35E-263,0.086861151,1.80E-06,1.34E-35
25-01-2016,-0.015231855,1.316304824,0.013166656,0.088737932,-0.107493117,0.000761161,24.14999962,0.837814904,0,Recovery,0.980945286,2.51E-241,0.019054575,1.39E-07,1.52E-32
26-01-2016,0.013550659,1.393804956,0.013245559,0.096620876,-0.095316748,0.000787182,22.5,0.830493467,0,Recovery,0.998655923,7.24E-259,0.001344044,3.31E-08,3.46E-37
27-01-2016,-0.010942663,1.044902727,0.013324983,0.18891753,-0.105162424,0.000805554,23.11000061,0.790292546,0,Recovery,0.999942637,1.41E-253,5.74E-05,2.85E-09,5.74E-37
28-01-2016,0.005195581,0.94104664,0.013479169,0.118680261,-0.100501125,0.000821556,22.42000008,0.79707593,0,Recovery,0.999999645,4.27E-280,3.54E-07,1.46E-09,9.72E-43
29-01-2016,0.024084816,0.654571225,0.014486777,0.276925198,-0.078573864,0.000928668,20.20000076,0.812270279,0,Recovery,0.999999951,1.67E-237,2.43E-09,4.68E-08,1.71E-40
01-02-2016,-0.000361454,0.429838952,0.014471653,0.210870479,-0.078906857,0.001005758,19.97999954,0.809795187,0,Recovery,0.999999983,1.06E-182,8.58E-11,1.73E-08,1.21E-29
